Time,ECG
2021-09-23 21:18:20.266616,-36
2021-09-23 21:18:20.266634,-72
2021-09-23 21:18:20.266641,-96
2021-09-23 21:18:20.266647,-57
2021-09-23 21:18:20.266653,-52
2021-09-23 21:18:20.266659,-62
2021-09-23 21:18:20.266665,-48
2021-09-23 21:18:20.266670,-33
2021-09-23 21:18:20.266676,-33
2021-09-23 21:18:20.266682,-28
2021-09-23 21:18:20.266687,-21
2021-09-23 21:18:20.266693,-21
2021-09-23 21:18:20.266699,-19
2021-09-23 21:18:20.266704,-4
2021-09-23 21:18:20.266710,0
2021-09-23 21:18:20.266716,-2
2021-09-23 21:18:20.266721,2
2021-09-23 21:18:20.266727,4
2021-09-23 21:18:20.266733,4
2021-09-23 21:18:20.266739,9
2021-09-23 21:18:20.266744,4
2021-09-23 21:18:20.266750,-4
2021-09-23 21:18:20.266755,-16
2021-09-23 21:18:20.266761,-33
2021-09-23 21:18:20.266767,-43
2021-09-23 21:18:20.266772,-48
2021-09-23 21:18:20.266778,-52
2021-09-23 21:18:20.266784,-55
2021-09-23 21:18:20.266790,-55
2021-09-23 21:18:20.266796,-50
2021-09-23 21:18:20.495742,-52
2021-09-23 21:18:20.495760,-55
2021-09-23 21:18:20.495767,-52
2021-09-23 21:18:20.495774,-60
2021-09-23 21:18:20.495780,-74
2021-09-23 21:18:20.495786,-76
2021-09-23 21:18:20.495792,-62
2021-09-23 21:18:20.495798,-50
2021-09-23 21:18:20.495804,-43
2021-09-23 21:18:20.495810,-38
2021-09-23 21:18:20.495816,-36
2021-09-23 21:18:20.495822,-36
2021-09-23 21:18:20.495828,-28
2021-09-23 21:18:20.495834,-16
2021-09-23 21:18:20.495839,-14
2021-09-23 21:18:20.495845,-16
2021-09-23 21:18:20.495851,-14
2021-09-23 21:18:20.495857,-12
2021-09-23 21:18:20.495863,-9
2021-09-23 21:18:20.495869,-7
2021-09-23 21:18:20.495874,-9
2021-09-23 21:18:20.495880,-14
2021-09-23 21:18:20.495886,-14
2021-09-23 21:18:20.495891,-12
2021-09-23 21:18:20.495897,-12
2021-09-23 21:18:20.495902,-9
2021-09-23 21:18:20.495908,-9
2021-09-23 21:18:20.495914,-12
2021-09-23 21:18:20.495920,-9
2021-09-23 21:18:20.495927,-9
2021-09-23 21:18:20.676416,-7
2021-09-23 21:18:20.676433,-2
2021-09-23 21:18:20.676440,-4
2021-09-23 21:18:20.676446,-24
2021-09-23 21:18:20.676452,-33
2021-09-23 21:18:20.676458,-28
2021-09-23 21:18:20.676464,-31
2021-09-23 21:18:20.676470,-31
2021-09-23 21:18:20.676475,-24
2021-09-23 21:18:20.676481,-28
2021-09-23 21:18:20.676487,-38
2021-09-23 21:18:20.676493,-31
2021-09-23 21:18:20.676499,-21
2021-09-23 21:18:20.676508,-19
2021-09-23 21:18:20.676515,-16
2021-09-23 21:18:20.676520,-19
2021-09-23 21:18:20.676526,-24
2021-09-23 21:18:20.676532,-16
2021-09-23 21:18:20.676538,-9
2021-09-23 21:18:20.676544,-7
2021-09-23 21:18:20.676549,-4
2021-09-23 21:18:20.676555,-9
2021-09-23 21:18:20.676561,-12
2021-09-23 21:18:20.676567,-4
2021-09-23 21:18:20.676573,2
2021-09-23 21:18:20.676578,2
2021-09-23 21:18:20.676584,4
2021-09-23 21:18:20.676590,4
2021-09-23 21:18:20.676596,2
2021-09-23 21:18:20.676603,4
2021-09-23 21:18:20.991327,12
2021-09-23 21:18:20.991345,21
2021-09-23 21:18:20.991352,31
2021-09-23 21:18:20.991358,33
2021-09-23 21:18:20.991364,21
2021-09-23 21:18:20.991370,4
2021-09-23 21:18:20.991376,-9
2021-09-23 21:18:20.991382,-7
2021-09-23 21:18:20.991388,-4
2021-09-23 21:18:20.991393,-12
2021-09-23 21:18:20.991399,2
2021-09-23 21:18:20.991405,79
2021-09-23 21:18:20.991411,266
2021-09-23 21:18:20.991417,601
2021-09-23 21:18:20.991423,899
2021-09-23 21:18:20.991428,567
2021-09-23 21:18:20.991434,-324
2021-09-23 21:18:20.991444,-548
2021-09-23 21:18:20.991450,-105
2021-09-23 21:18:20.991455,-33
2021-09-23 21:18:20.991461,-158
2021-09-23 21:18:20.991467,-72
2021-09-23 21:18:20.991473,-21
2021-09-23 21:18:20.991479,-60
2021-09-23 21:18:20.991484,-36
2021-09-23 21:18:20.991490,-4
2021-09-23 21:18:20.991496,-19
2021-09-23 21:18:20.991501,-21
2021-09-23 21:18:20.991507,-4
2021-09-23 21:18:20.991513,0
2021-09-23 21:18:21.171272,0
2021-09-23 21:18:21.171288,2
2021-09-23 21:18:21.171295,2
2021-09-23 21:18:21.171301,4
2021-09-23 21:18:21.171307,12
2021-09-23 21:18:21.171313,24
2021-09-23 21:18:21.171319,28
2021-09-23 21:18:21.171329,26
2021-09-23 21:18:21.171335,21
2021-09-23 21:18:21.171340,12
