Time,ECG
2021-09-24 15:42:00.113009,-410
2021-09-24 15:42:00.113032,19
2021-09-24 15:42:00.113040,551
2021-09-24 15:42:00.113046,680
2021-09-24 15:42:00.113053,313
2021-09-24 15:42:00.113060,60
2021-09-24 15:42:00.113066,77
2021-09-24 15:42:00.113073,-2
2021-09-24 15:42:00.113079,-99
2021-09-24 15:42:00.113086,-80
2021-09-24 15:42:00.113092,-80
2021-09-24 15:42:00.113099,-116
2021-09-24 15:42:00.113105,-126
2021-09-24 15:42:00.113112,-126
2021-09-24 15:42:00.113119,-138
2021-09-24 15:42:00.113125,-153
2021-09-24 15:42:00.113132,-157
2021-09-24 15:42:00.113138,-170
2021-09-24 15:42:00.113145,-191
2021-09-24 15:42:00.113151,-211
2021-09-24 15:42:00.113158,-230
2021-09-24 15:42:00.113164,-247
2021-09-24 15:42:00.113171,-264
2021-09-24 15:42:00.113177,-296
2021-09-24 15:42:00.113184,-330
2021-09-24 15:42:00.113190,-352
2021-09-24 15:42:00.113197,-376
2021-09-24 15:42:00.113203,-400
2021-09-24 15:42:00.113210,-415
2021-09-24 15:42:00.113216,-420
2021-09-24 15:42:00.292647,-417
2021-09-24 15:42:00.292669,-386
2021-09-24 15:42:00.292676,-325
2021-09-24 15:42:00.292683,-240
2021-09-24 15:42:00.292690,-138
2021-09-24 15:42:00.292696,-31
2021-09-24 15:42:00.292703,55
2021-09-24 15:42:00.292710,121
2021-09-24 15:42:00.292716,182
2021-09-24 15:42:00.292723,221
2021-09-24 15:42:00.292730,230
2021-09-24 15:42:00.292736,233
2021-09-24 15:42:00.292743,242
2021-09-24 15:42:00.292749,242
2021-09-24 15:42:00.292756,228
2021-09-24 15:42:00.292763,223
2021-09-24 15:42:00.292769,216
2021-09-24 15:42:00.292776,199
2021-09-24 15:42:00.292782,184
2021-09-24 15:42:00.292789,179
2021-09-24 15:42:00.292796,160
2021-09-24 15:42:00.292803,143
2021-09-24 15:42:00.292809,133
2021-09-24 15:42:00.292816,121
2021-09-24 15:42:00.292823,116
2021-09-24 15:42:00.292829,111
2021-09-24 15:42:00.292836,104
2021-09-24 15:42:00.292843,104
2021-09-24 15:42:00.292849,102
2021-09-24 15:42:00.292856,94
2021-09-24 15:42:00.517980,97
2021-09-24 15:42:00.518004,106
2021-09-24 15:42:00.518013,102
2021-09-24 15:42:00.518020,89
2021-09-24 15:42:00.518026,89
2021-09-24 15:42:00.518033,94
2021-09-24 15:42:00.518040,92
2021-09-24 15:42:00.518047,89
2021-09-24 15:42:00.518053,89
2021-09-24 15:42:00.518060,89
2021-09-24 15:42:00.518067,82
2021-09-24 15:42:00.518074,82
2021-09-24 15:42:00.518080,80
2021-09-24 15:42:00.518087,70
2021-09-24 15:42:00.518094,65
2021-09-24 15:42:00.518101,72
2021-09-24 15:42:00.518107,70
2021-09-24 15:42:00.518114,63
2021-09-24 15:42:00.518121,65
2021-09-24 15:42:00.518127,72
2021-09-24 15:42:00.518134,70
2021-09-24 15:42:00.518141,65
2021-09-24 15:42:00.518147,65
2021-09-24 15:42:00.518154,58
2021-09-24 15:42:00.518161,46
2021-09-24 15:42:00.518167,43
2021-09-24 15:42:00.518174,51
2021-09-24 15:42:00.518181,48
2021-09-24 15:42:00.518187,43
2021-09-24 15:42:00.518194,46
2021-09-24 15:42:00.742948,51
2021-09-24 15:42:00.742970,53
2021-09-24 15:42:00.742978,55
2021-09-24 15:42:00.742985,46
2021-09-24 15:42:00.742991,21
2021-09-24 15:42:00.742998,9
2021-09-24 15:42:00.743004,9
2021-09-24 15:42:00.743011,12
2021-09-24 15:42:00.743018,2
2021-09-24 15:42:00.743024,0
2021-09-24 15:42:00.743031,7
2021-09-24 15:42:00.743038,26
2021-09-24 15:42:00.743044,48
2021-09-24 15:42:00.743051,53
2021-09-24 15:42:00.743057,43
2021-09-24 15:42:00.743064,38
2021-09-24 15:42:00.743070,38
2021-09-24 15:42:00.743077,41
2021-09-24 15:42:00.743084,46
2021-09-24 15:42:00.743090,41
2021-09-24 15:42:00.743097,14
2021-09-24 15:42:00.743103,-38
2021-09-24 15:42:00.743110,-145
2021-09-24 15:42:00.743116,-342
2021-09-24 15:42:00.743123,-446
2021-09-24 15:42:00.743130,-213
2021-09-24 15:42:00.743136,269
2021-09-24 15:42:00.743143,658
2021-09-24 15:42:00.743149,580
2021-09-24 15:42:00.743156,199
2021-09-24 15:42:01.101715,53
2021-09-24 15:42:01.101740,68
2021-09-24 15:42:01.101749,-43
2021-09-24 15:42:01.101756,-119
2021-09-24 15:42:01.101763,-85
2021-09-24 15:42:01.101770,-89
2021-09-24 15:42:01.101777,-123
2021-09-24 15:42:01.101783,-121
2021-09-24 15:42:01.101790,-123
2021-09-24 15:42:01.101797,-148
2021-09-24 15:42:01.101804,-162
2021-09-24 15:42:01.101811,-162
2021-09-24 15:42:01.101818,-170
2021-09-24 15:42:01.101825,-191
2021-09-24 15:42:01.101832,-211
2021-09-24 15:42:01.101839,-225
2021-09-24 15:42:01.101846,-245
2021-09-24 15:42:01.101852,-274
2021-09-24 15:42:01.101859,-306
2021-09-24 15:42:01.101898,-332
2021-09-24 15:42:01.101905,-359
2021-09-24 15:42:01.101912,-391
2021-09-24 15:42:01.101918,-415
2021-09-24 15:42:01.101925,-425
2021-09-24 15:42:01.101932,-427
2021-09-24 15:42:01.101939,-417
2021-09-24 15:42:01.101946,-381
2021-09-24 15:42:01.101953,-320
2021-09-24 15:42:01.101959,-228
2021-09-24 15:42:01.101966,-114
2021-09-24 15:42:01.237725,-14
2021-09-24 15:42:01.237747,63
2021-09-24 15:42:01.237755,131
2021-09-24 15:42:01.237762,177
2021-09-24 15:42:01.237768,206
2021-09-24 15:42:01.237775,223
2021-09-24 15:42:01.237782,233
2021-09-24 15:42:01.237788,233
2021-09-24 15:42:01.237795,221
2021-09-24 15:42:01.237801,206
2021-09-24 15:42:01.237808,199
2021-09-24 15:42:01.237814,189
2021-09-24 15:42:01.237821,170
2021-09-24 15:42:01.237827,162
2021-09-24 15:42:01.237834,150
2021-09-24 15:42:01.237840,128
2021-09-24 15:42:01.237846,123
2021-09-24 15:42:01.237853,123
2021-09-24 15:42:01.237859,114
2021-09-24 15:42:01.237866,102
2021-09-24 15:42:01.237872,89
2021-09-24 15:42:01.237894,80
2021-09-24 15:42:01.237901,82
2021-09-24 15:42:01.237907,85
2021-09-24 15:42:01.237914,77
2021-09-24 15:42:01.237920,80
2021-09-24 15:42:01.237927,82
2021-09-24 15:42:01.237933,80
2021-09-24 15:42:01.237940,85
2021-09-24 15:42:01.237946,87
2021-09-24 15:42:01.463063,87
2021-09-24 15:42:01.463087,89
2021-09-24 15:42:01.463095,85
2021-09-24 15:42:01.463101,80
2021-09-24 15:42:01.463108,87
2021-09-24 15:42:01.463114,87
2021-09-24 15:42:01.463121,82
2021-09-24 15:42:01.463128,77
2021-09-24 15:42:01.463134,77
2021-09-24 15:42:01.463141,75
2021-09-24 15:42:01.463147,70
2021-09-24 15:42:01.463154,68
2021-09-24 15:42:01.463161,70
2021-09-24 15:42:01.463167,68
2021-09-24 15:42:01.463174,60
2021-09-24 15:42:01.463180,63
2021-09-24 15:42:01.463187,60
2021-09-24 15:42:01.463193,58
2021-09-24 15:42:01.463200,60
2021-09-24 15:42:01.463206,55
2021-09-24 15:42:01.463213,51
2021-09-24 15:42:01.463220,48
2021-09-24 15:42:01.463226,41
