Time,ECG
2021-09-24 15:00:11.653929,60
2021-09-24 15:00:11.653943,58
2021-09-24 15:00:11.653949,43
2021-09-24 15:00:11.653953,17
2021-09-24 15:00:11.653958,9
2021-09-24 15:00:11.653963,21
2021-09-24 15:00:11.653968,19
2021-09-24 15:00:11.653972,12
2021-09-24 15:00:11.653977,24
2021-09-24 15:00:11.653981,36
2021-09-24 15:00:11.653986,41
2021-09-24 15:00:11.653990,51
2021-09-24 15:00:11.653995,53
2021-09-24 15:00:11.653999,51
2021-09-24 15:00:11.654017,48
2021-09-24 15:00:11.654021,41
2021-09-24 15:00:11.654025,41
2021-09-24 15:00:11.654030,46
2021-09-24 15:00:11.654034,46
2021-09-24 15:00:11.654038,38
2021-09-24 15:00:11.654042,7
2021-09-24 15:00:11.654047,-72
2021-09-24 15:00:11.654051,-259
2021-09-24 15:00:11.654055,-502
2021-09-24 15:00:11.654059,-524
2021-09-24 15:00:11.654064,-184
2021-09-24 15:00:11.654068,349
2021-09-24 15:00:11.654073,643
2021-09-24 15:00:11.654077,398
2021-09-24 15:00:11.654081,89
2021-09-24 15:00:11.825125,82
2021-09-24 15:00:11.825146,51
2021-09-24 15:00:11.825154,-70
2021-09-24 15:00:11.825161,-77
2021-09-24 15:00:11.825168,-48
2021-09-24 15:00:11.825175,-80
2021-09-24 15:00:11.825182,-97
2021-09-24 15:00:11.825189,-92
2021-09-24 15:00:11.825196,-111
2021-09-24 15:00:11.825202,-133
2021-09-24 15:00:11.825209,-136
2021-09-24 15:00:11.825215,-143
2021-09-24 15:00:11.825222,-162
2021-09-24 15:00:11.825228,-174
2021-09-24 15:00:11.825235,-199
2021-09-24 15:00:11.825241,-228
2021-09-24 15:00:11.825248,-250
2021-09-24 15:00:11.825255,-274
2021-09-24 15:00:11.825261,-310
2021-09-24 15:00:11.825268,-347
2021-09-24 15:00:11.825275,-383
2021-09-24 15:00:11.825281,-422
2021-09-24 15:00:11.825288,-459
2021-09-24 15:00:11.825294,-476
2021-09-24 15:00:11.825301,-473
2021-09-24 15:00:11.825307,-463
2021-09-24 15:00:11.825314,-437
2021-09-24 15:00:11.825320,-376
2021-09-24 15:00:11.825327,-279
2021-09-24 15:00:11.825336,-167
