Time,ECG
2021-09-24 15:14:00.195652,99
2021-09-24 15:14:00.195675,102
2021-09-24 15:14:00.195683,99
2021-09-24 15:14:00.195689,92
2021-09-24 15:14:00.195696,92
2021-09-24 15:14:00.195702,94
2021-09-24 15:14:00.195709,92
2021-09-24 15:14:00.195715,92
2021-09-24 15:14:00.195722,87
2021-09-24 15:14:00.195728,75
2021-09-24 15:14:00.195735,72
2021-09-24 15:14:00.195741,72
2021-09-24 15:14:00.195748,70
2021-09-24 15:14:00.195754,72
2021-09-24 15:14:00.195761,68
2021-09-24 15:14:00.195767,46
2021-09-24 15:14:00.195773,26
2021-09-24 15:14:00.195780,19
2021-09-24 15:14:00.195787,24
2021-09-24 15:14:00.195793,24
2021-09-24 15:14:00.195799,12
2021-09-24 15:14:00.195806,17
2021-09-24 15:14:00.195812,38
2021-09-24 15:14:00.195819,48
2021-09-24 15:14:00.195825,48
2021-09-24 15:14:00.195832,51
2021-09-24 15:14:00.195838,43
2021-09-24 15:14:00.195845,36
2021-09-24 15:14:00.195851,38
2021-09-24 15:14:00.195858,38
2021-09-24 15:14:00.376349,31
2021-09-24 15:14:00.376373,26
2021-09-24 15:14:00.376384,9
2021-09-24 15:14:00.376396,-41
2021-09-24 15:14:00.376409,-148
2021-09-24 15:14:00.376421,-361
2021-09-24 15:14:00.376434,-524
2021-09-24 15:14:00.376442,-335
2021-09-24 15:14:00.376449,172
2021-09-24 15:14:00.376456,612
2021-09-24 15:14:00.376463,568
2021-09-24 15:14:00.376470,204
2021-09-24 15:14:00.376477,48
2021-09-24 15:14:00.376483,38
2021-09-24 15:14:00.376490,-77
2021-09-24 15:14:00.376497,-136
2021-09-24 15:14:00.376504,-99
2021-09-24 15:14:00.376511,-119
2021-09-24 15:14:00.376518,-162
2021-09-24 15:14:00.376525,-165
2021-09-24 15:14:00.376532,-165
2021-09-24 15:14:00.376539,-179
2021-09-24 15:14:00.376546,-187
2021-09-24 15:14:00.376553,-187
2021-09-24 15:14:00.376560,-199
2021-09-24 15:14:00.376567,-218
2021-09-24 15:14:00.376574,-238
2021-09-24 15:14:00.376580,-255
2021-09-24 15:14:00.376587,-272
2021-09-24 15:14:00.376626,-293
2021-09-24 15:14:00.601363,-318
2021-09-24 15:14:00.601387,-352
2021-09-24 15:14:00.601395,-381
2021-09-24 15:14:00.601401,-400
2021-09-24 15:14:00.601408,-408
2021-09-24 15:14:00.601415,-405
2021-09-24 15:14:00.601421,-395
2021-09-24 15:14:00.601428,-371
2021-09-24 15:14:00.601435,-315
2021-09-24 15:14:00.601441,-225
2021-09-24 15:14:00.601448,-121
2021-09-24 15:14:00.601454,-19
2021-09-24 15:14:00.601461,60
2021-09-24 15:14:00.601467,116
2021-09-24 15:14:00.601474,162
2021-09-24 15:14:00.601480,196
2021-09-24 15:14:00.601487,213
2021-09-24 15:14:00.601493,221
2021-09-24 15:14:00.601500,221
2021-09-24 15:14:00.601506,216
2021-09-24 15:14:00.601513,208
2021-09-24 15:14:00.601519,201
2021-09-24 15:14:00.601526,194
2021-09-24 15:14:00.601532,184
2021-09-24 15:14:00.601539,174
2021-09-24 15:14:00.601545,165
2021-09-24 15:14:00.601552,153
2021-09-24 15:14:00.601558,138
2021-09-24 15:14:00.601565,123
2021-09-24 15:14:00.601571,119
2021-09-24 15:14:00.915748,116
2021-09-24 15:14:00.915779,109
2021-09-24 15:14:00.915790,104
2021-09-24 15:14:00.915801,102
2021-09-24 15:14:00.915811,102
2021-09-24 15:14:00.915822,102
2021-09-24 15:14:00.915832,94
2021-09-24 15:14:00.915842,87
2021-09-24 15:14:00.915852,89
2021-09-24 15:14:00.915862,94
2021-09-24 15:14:00.915872,94
2021-09-24 15:14:00.915883,92
