Time,ECG
2021-09-27 10:55:00.004683,-300
2021-09-27 10:55:00.004704,-286
2021-09-27 10:55:00.004712,-273
2021-09-27 10:55:00.004718,-259
2021-09-27 10:55:00.004725,-239
2021-09-27 10:55:00.004731,-224
2021-09-27 10:55:00.004737,-210
2021-09-27 10:55:00.004744,-198
2021-09-27 10:55:00.004750,-195
2021-09-27 10:55:00.004756,-195
2021-09-27 10:55:00.004762,-188
2021-09-27 10:55:00.004769,-185
2021-09-27 10:55:00.004775,-176
2021-09-27 10:55:00.004781,-168
2021-09-27 10:55:00.004788,-176
2021-09-27 10:55:00.004794,-178
2021-09-27 10:55:00.004800,-163
2021-09-27 10:55:00.004807,-158
2021-09-27 10:55:00.004813,-161
2021-09-27 10:55:00.004819,-156
2021-09-27 10:55:00.004826,-149
2021-09-27 10:55:00.004832,-139
2021-09-27 10:55:00.004838,-144
2021-09-27 10:55:00.004844,-156
2021-09-27 10:55:00.004851,-151
2021-09-27 10:55:00.004857,-136
2021-09-27 10:55:00.004863,-141
2021-09-27 10:55:00.004870,-149
2021-09-27 10:55:00.004876,-134
2021-09-27 10:55:00.004882,-122
2021-09-27 10:55:00.230436,-119
2021-09-27 10:55:00.230468,-119
2021-09-27 10:55:00.230479,-117
2021-09-27 10:55:00.230489,-117
2021-09-27 10:55:00.230499,-110
2021-09-27 10:55:00.230508,-102
2021-09-27 10:55:00.230518,-100
2021-09-27 10:55:00.230528,-102
2021-09-27 10:55:00.230537,-105
2021-09-27 10:55:00.230547,-105
2021-09-27 10:55:00.230557,-100
2021-09-27 10:55:00.230566,-90
2021-09-27 10:55:00.230576,-83
2021-09-27 10:55:00.230586,-83
2021-09-27 10:55:00.230595,-80
2021-09-27 10:55:00.230605,-68
2021-09-27 10:55:00.230615,-68
2021-09-27 10:55:00.230624,-75
2021-09-27 10:55:00.230634,-85
2021-09-27 10:55:00.230644,-105
2021-09-27 10:55:00.230654,-114
2021-09-27 10:55:00.230663,-112
2021-09-27 10:55:00.230673,-100
2021-09-27 10:55:00.230682,-90
2021-09-27 10:55:00.230692,-90
2021-09-27 10:55:00.230702,-90
2021-09-27 10:55:00.230711,-102
2021-09-27 10:55:00.230721,-166
2021-09-27 10:55:00.230731,-180
2021-09-27 10:55:00.230740,183
2021-09-27 10:55:00.454877,1046
2021-09-27 10:55:00.454897,1985
2021-09-27 10:55:00.454905,2183
2021-09-27 10:55:00.454912,880
2021-09-27 10:55:00.454919,-848
2021-09-27 10:55:00.454925,-926
2021-09-27 10:55:00.454931,-163
2021-09-27 10:55:00.454938,-190
2021-09-27 10:55:00.454944,-335
2021-09-27 10:55:00.454951,-107
2021-09-27 10:55:00.454957,-53
2021-09-27 10:55:00.454963,-134
2021-09-27 10:55:00.454970,-83
2021-09-27 10:55:00.454976,-41
2021-09-27 10:55:00.454982,-58
2021-09-27 10:55:00.454989,-44
2021-09-27 10:55:00.454995,-12
2021-09-27 10:55:00.455002,4
2021-09-27 10:55:00.455008,24
2021-09-27 10:55:00.455014,48
2021-09-27 10:55:00.455021,70
2021-09-27 10:55:00.455027,92
2021-09-27 10:55:00.455033,122
2021-09-27 10:55:00.455040,158
2021-09-27 10:55:00.455046,193
2021-09-27 10:55:00.455052,229
2021-09-27 10:55:00.455059,278
2021-09-27 10:55:00.455065,330
2021-09-27 10:55:00.455072,379
2021-09-27 10:55:00.455078,423
2021-09-27 10:55:00.680416,476
2021-09-27 10:55:00.680449,533
2021-09-27 10:55:00.680461,574
2021-09-27 10:55:00.680471,596
2021-09-27 10:55:00.680481,606
2021-09-27 10:55:00.680491,584
2021-09-27 10:55:00.680501,503
2021-09-27 10:55:00.680511,366
2021-09-27 10:55:00.680521,202
2021-09-27 10:55:00.680531,31
2021-09-27 10:55:00.680541,-114
2021-09-27 10:55:00.680551,-227
2021-09-27 10:55:00.680561,-305
2021-09-27 10:55:00.680571,-349
2021-09-27 10:55:00.680580,-361
2021-09-27 10:55:00.680590,-366
2021-09-27 10:55:00.680646,-371
2021-09-27 10:55:00.680657,-371
2021-09-27 10:55:00.680667,-361
2021-09-27 10:55:00.680676,-337
2021-09-27 10:55:00.680686,-320
2021-09-27 10:55:00.680696,-313
2021-09-27 10:55:00.680706,-295
2021-09-27 10:55:00.680716,-276
2021-09-27 10:55:00.680726,-266
2021-09-27 10:55:00.680736,-246
2021-09-27 10:55:00.680746,-229
2021-09-27 10:55:00.680756,-222
2021-09-27 10:55:00.680765,-212
2021-09-27 10:55:00.680775,-198
2021-09-27 10:55:00.949535,-185
2021-09-27 10:55:00.949557,-176
2021-09-27 10:55:00.949565,-171
2021-09-27 10:55:00.949571,-166
2021-09-27 10:55:00.949578,-158
2021-09-27 10:55:00.949584,-161
2021-09-27 10:55:00.949591,-166
2021-09-27 10:55:00.949597,-154
2021-09-27 10:55:00.949603,-146
2021-09-27 10:55:00.949610,-146
2021-09-27 10:55:00.949616,-144
2021-09-27 10:55:00.949622,-141
2021-09-27 10:55:00.949629,-144
2021-09-27 10:55:00.949635,-136
2021-09-27 10:55:00.949641,-129
2021-09-27 10:55:00.949648,-127
2021-09-27 10:55:00.949654,-124
2021-09-27 10:55:00.949660,-122
2021-09-27 10:55:00.949667,-124
2021-09-27 10:55:00.949673,-127
