Time,ECG
2021-10-14 14:54:00.108435,-61
2021-10-14 14:54:00.108458,-63
2021-10-14 14:54:00.108467,-71
2021-10-14 14:54:00.108476,-73
2021-10-14 14:54:00.108485,-63
2021-10-14 14:54:00.108494,-58
2021-10-14 14:54:00.108502,-63
2021-10-14 14:54:00.108511,-71
2021-10-14 14:54:00.108519,-73
2021-10-14 14:54:00.108528,-73
2021-10-14 14:54:00.108537,-63
2021-10-14 14:54:00.108545,-61
2021-10-14 14:54:00.108554,-66
2021-10-14 14:54:00.108562,-63
2021-10-14 14:54:00.108571,-53
2021-10-14 14:54:00.108579,-51
2021-10-14 14:54:00.108589,-53
2021-10-14 14:54:00.108597,-56
2021-10-14 14:54:00.108606,-51
2021-10-14 14:54:00.108614,-17
2021-10-14 14:54:00.108623,19
2021-10-14 14:54:00.108631,22
2021-10-14 14:54:00.108640,12
2021-10-14 14:54:00.108648,9
2021-10-14 14:54:00.108657,7
2021-10-14 14:54:00.108665,-2
2021-10-14 14:54:00.108674,-9
2021-10-14 14:54:00.108682,-7
2021-10-14 14:54:00.108691,2
2021-10-14 14:54:00.108699,2
2021-10-14 14:54:00.333242,0
2021-10-14 14:54:00.333264,0
2021-10-14 14:54:00.333274,4
2021-10-14 14:54:00.333283,66
2021-10-14 14:54:00.333292,279
2021-10-14 14:54:00.333300,667
2021-10-14 14:54:00.333309,988
2021-10-14 14:54:00.333318,716
2021-10-14 14:54:00.333326,-122
2021-10-14 14:54:00.333335,-444
2021-10-14 14:54:00.333343,-22
2021-10-14 14:54:00.333352,98
2021-10-14 14:54:00.333361,-85
2021-10-14 14:54:00.333370,-19
2021-10-14 14:54:00.333378,53
2021-10-14 14:54:00.333387,0
2021-10-14 14:54:00.333403,17
2021-10-14 14:54:00.333412,61
2021-10-14 14:54:00.333421,56
2021-10-14 14:54:00.333429,58
2021-10-14 14:54:00.333438,76
2021-10-14 14:54:00.333446,85
2021-10-14 14:54:00.333454,107
2021-10-14 14:54:00.333463,132
2021-10-14 14:54:00.333471,154
2021-10-14 14:54:00.333480,184
2021-10-14 14:54:00.333488,218
2021-10-14 14:54:00.333497,255
2021-10-14 14:54:00.333505,296
2021-10-14 14:54:00.333513,336
2021-10-14 14:54:00.557864,372
2021-10-14 14:54:00.557886,404
2021-10-14 14:54:00.557895,431
2021-10-14 14:54:00.557904,441
2021-10-14 14:54:00.557912,431
2021-10-14 14:54:00.557921,404
2021-10-14 14:54:00.557929,358
2021-10-14 14:54:00.557938,284
2021-10-14 14:54:00.557946,184
2021-10-14 14:54:00.557955,83
2021-10-14 14:54:00.557963,-4
2021-10-14 14:54:00.557972,-83
2021-10-14 14:54:00.557980,-139
2021-10-14 14:54:00.557989,-166
2021-10-14 14:54:00.557997,-176
2021-10-14 14:54:00.558005,-184
2021-10-14 14:54:00.558014,-186
2021-10-14 14:54:00.558022,-181
2021-10-14 14:54:00.558031,-169
2021-10-14 14:54:00.558039,-164
2021-10-14 14:54:00.558047,-169
2021-10-14 14:54:00.558056,-161
2021-10-14 14:54:00.558064,-154
2021-10-14 14:54:00.558073,-154
2021-10-14 14:54:00.558081,-147
2021-10-14 14:54:00.558090,-132
2021-10-14 14:54:00.558098,-125
2021-10-14 14:54:00.558106,-132
2021-10-14 14:54:00.558115,-137
2021-10-14 14:54:00.558123,-130
2021-10-14 14:54:00.871902,-115
2021-10-14 14:54:00.871923,-112
2021-10-14 14:54:00.871933,-112
2021-10-14 14:54:00.871941,-107
2021-10-14 14:54:00.871950,-112
2021-10-14 14:54:00.871959,-122
2021-10-14 14:54:00.871967,-115
2021-10-14 14:54:00.871975,-100
2021-10-14 14:54:00.871984,-100
2021-10-14 14:54:00.871993,-107
2021-10-14 14:54:00.872001,-112
2021-10-14 14:54:00.872009,-110
2021-10-14 14:54:00.872018,-110
2021-10-14 14:54:00.872026,-107
2021-10-14 14:54:00.872035,-103
2021-10-14 14:54:00.872043,-105
2021-10-14 14:54:00.872052,-105
2021-10-14 14:54:00.872060,-98
2021-10-14 14:54:00.872069,-90
2021-10-14 14:54:00.872077,-88
2021-10-14 14:54:00.872086,-83
2021-10-14 14:54:00.872094,-90
2021-10-14 14:54:00.872103,-88
2021-10-14 14:54:00.872111,-73
2021-10-14 14:54:00.872119,-73
2021-10-14 14:54:00.872128,-85
2021-10-14 14:54:00.872136,-78
2021-10-14 14:54:00.872145,-71
2021-10-14 14:54:00.872153,-76
2021-10-14 14:54:00.872162,-68
2021-10-14 14:54:01.052870,-58
2021-10-14 14:54:01.052892,-53
2021-10-14 14:54:01.052901,-53
2021-10-14 14:54:01.052910,-61
2021-10-14 14:54:01.052919,-61
2021-10-14 14:54:01.052928,-51
2021-10-14 14:54:01.052936,-44
2021-10-14 14:54:01.052945,-39
2021-10-14 14:54:01.052953,-31
2021-10-14 14:54:01.052962,-41
2021-10-14 14:54:01.052970,-49
2021-10-14 14:54:01.052979,-41
2021-10-14 14:54:01.052987,-39
2021-10-14 14:54:01.052996,-31
2021-10-14 14:54:01.053004,0
2021-10-14 14:54:01.053013,17
2021-10-14 14:54:01.053021,14
2021-10-14 14:54:01.053030,12
2021-10-14 14:54:01.053038,7
2021-10-14 14:54:01.053047,7
2021-10-14 14:54:01.053055,-2
2021-10-14 14:54:01.053064,-26
2021-10-14 14:54:01.053073,-22
2021-10-14 14:54:01.053081,-2
2021-10-14 14:54:01.053090,0
2021-10-14 14:54:01.053098,-2
2021-10-14 14:54:01.053106,-4
2021-10-14 14:54:01.053115,2
2021-10-14 14:54:01.053123,76
2021-10-14 14:54:01.053132,311
2021-10-14 14:54:01.278257,709
2021-10-14 14:54:01.278279,991
2021-10-14 14:54:01.278288,623
2021-10-14 14:54:01.278296,-228
2021-10-14 14:54:01.278303,-422
2021-10-14 14:54:01.278311,39
2021-10-14 14:54:01.278318,105
2021-10-14 14:54:01.278326,-66
2021-10-14 14:54:01.278334,2
2021-10-14 14:54:01.278342,49
2021-10-14 14:54:01.278349,2
2021-10-14 14:54:01.278357,29
2021-10-14 14:54:01.278364,63
2021-10-14 14:54:01.278372,58
2021-10-14 14:54:01.278380,58
2021-10-14 14:54:01.278388,71
2021-10-14 14:54:01.278396,90
2021-10-14 14:54:01.278405,117
2021-10-14 14:54:01.278413,134
2021-10-14 14:54:01.278421,147
2021-10-14 14:54:01.278429,176
2021-10-14 14:54:01.278437,206
2021-10-14 14:54:01.278445,230
2021-10-14 14:54:01.278453,274
2021-10-14 14:54:01.278461,323
2021-10-14 14:54:01.278470,355
2021-10-14 14:54:01.278478,375
2021-10-14 14:54:01.278486,385
2021-10-14 14:54:01.278494,390
2021-10-14 14:54:01.278502,375
2021-10-14 14:54:01.503254,333
2021-10-14 14:54:01.503276,289
2021-10-14 14:54:01.503286,225
2021-10-14 14:54:01.503294,117
2021-10-14 14:54:01.503303,7
2021-10-14 14:54:01.503311,-73
2021-10-14 14:54:01.503319,-139
2021-10-14 14:54:01.503328,-196
2021-10-14 14:54:01.503336,-240
2021-10-14 14:54:01.503345,-257
2021-10-14 14:54:01.503353,-250
2021-10-14 14:54:01.503361,-247
2021-10-14 14:54:01.503370,-252
2021-10-14 14:54:01.503378,-250
2021-10-14 14:54:01.503386,-242
2021-10-14 14:54:01.503395,-233
2021-10-14 14:54:01.503403,-223
2021-10-14 14:54:01.503411,-211
2021-10-14 14:54:01.503419,-196
2021-10-14 14:54:01.503427,-188
2021-10-14 14:54:01.503435,-184
2021-10-14 14:54:01.503444,-174
2021-10-14 14:54:01.503452,-164
2021-10-14 14:54:01.503460,-152
2021-10-14 14:54:01.503468,-147
2021-10-14 14:54:01.503477,-147
2021-10-14 14:54:01.503485,-147
2021-10-14 14:54:01.503493,-144
2021-10-14 14:54:01.503501,-134
2021-10-14 14:54:01.503509,-122
2021-10-14 14:54:01.727846,-120
2021-10-14 14:54:01.727867,-117
2021-10-14 14:54:01.727877,-120
2021-10-14 14:54:01.727886,-120
2021-10-14 14:54:01.727894,-112
2021-10-14 14:54:01.727903,-110
2021-10-14 14:54:01.727912,-117
2021-10-14 14:54:01.727920,-120
2021-10-14 14:54:01.727928,-112
2021-10-14 14:54:01.727937,-105
2021-10-14 14:54:01.727946,-105
2021-10-14 14:54:01.727954,-100
2021-10-14 14:54:01.727962,-100
2021-10-14 14:54:01.727971,-110
2021-10-14 14:54:01.727979,-110
2021-10-14 14:54:01.727988,-100
2021-10-14 14:54:01.727996,-90
2021-10-14 14:54:01.728005,-83
2021-10-14 14:54:01.728013,-80
2021-10-14 14:54:01.728021,-80
2021-10-14 14:54:01.728030,-73
2021-10-14 14:54:01.728039,-76
2021-10-14 14:54:01.728047,-80
2021-10-14 14:54:01.728055,-83
2021-10-14 14:54:01.728064,-78
2021-10-14 14:54:01.728072,-71
2021-10-14 14:54:01.728081,-66
2021-10-14 14:54:01.728121,-68
