Time,ECG
2021-10-14 14:34:47.374212,29
2021-10-14 14:34:47.374231,63
2021-10-14 14:34:47.374241,49
2021-10-14 14:34:47.374249,66
2021-10-14 14:34:47.374258,105
2021-10-14 14:34:47.374267,122
2021-10-14 14:34:47.374275,132
2021-10-14 14:34:47.374284,152
2021-10-14 14:34:47.374293,169
2021-10-14 14:34:47.374301,191
2021-10-14 14:34:47.374310,228
2021-10-14 14:34:47.374318,267
2021-10-14 14:34:47.374327,299
2021-10-14 14:34:47.374335,323
2021-10-14 14:34:47.374344,341
2021-10-14 14:34:47.374352,355
2021-10-14 14:34:47.374360,375
2021-10-14 14:34:47.374369,377
2021-10-14 14:34:47.374378,365
2021-10-14 14:34:47.374386,350
2021-10-14 14:34:47.374394,314
2021-10-14 14:34:47.374402,242
2021-10-14 14:34:47.374411,157
2021-10-14 14:34:47.374419,71
2021-10-14 14:34:47.374428,-4
2021-10-14 14:34:47.374436,-68
2021-10-14 14:34:47.374445,-115
2021-10-14 14:34:47.374453,-147
2021-10-14 14:34:47.374462,-164
2021-10-14 14:34:47.374470,-171
2021-10-14 14:34:47.416194,-181
2021-10-14 14:34:47.416213,-186
2021-10-14 14:34:47.416222,-169
2021-10-14 14:34:47.416231,-154
2021-10-14 14:34:47.416239,-152
2021-10-14 14:34:47.416248,-139
2021-10-14 14:34:47.416257,-125
2021-10-14 14:34:47.416266,-130
2021-10-14 14:34:47.416274,-139
2021-10-14 14:34:47.416282,-130
2021-10-14 14:34:47.416291,-112
2021-10-14 14:34:47.416299,-105
2021-10-14 14:34:47.416307,-107
2021-10-14 14:34:47.416316,-120
2021-10-14 14:34:47.416324,-125
2021-10-14 14:34:47.416333,-115
2021-10-14 14:34:47.416341,-107
2021-10-14 14:34:47.416350,-105
2021-10-14 14:34:47.416358,-105
2021-10-14 14:34:47.416367,-115
2021-10-14 14:34:47.416375,-120
2021-10-14 14:34:47.416383,-107
2021-10-14 14:34:47.416392,-103
2021-10-14 14:34:47.416400,-120
2021-10-14 14:34:47.416409,-142
2021-10-14 14:34:47.416417,-144
2021-10-14 14:34:47.416425,-142
2021-10-14 14:34:47.416434,-147
2021-10-14 14:34:47.416442,-144
2021-10-14 14:34:47.416452,-134
2021-10-14 14:34:47.597514,-122
2021-10-14 14:34:47.597533,-117
2021-10-14 14:34:47.597543,-132
2021-10-14 14:34:47.597551,-147
2021-10-14 14:34:47.597560,-134
2021-10-14 14:34:47.597569,-120
2021-10-14 14:34:47.597577,-127
2021-10-14 14:34:47.597585,-130
2021-10-14 14:34:47.597594,-120
2021-10-14 14:34:47.597602,-112
2021-10-14 14:34:47.597610,-107
2021-10-14 14:34:47.597619,-103
2021-10-14 14:34:47.597627,-107
2021-10-14 14:34:47.597639,-107
2021-10-14 14:34:47.597648,-98
2021-10-14 14:34:47.597656,-93
2021-10-14 14:34:47.597664,-95
2021-10-14 14:34:47.597673,-98
2021-10-14 14:34:47.597681,-78
2021-10-14 14:34:47.597690,-41
2021-10-14 14:34:47.597698,-22
2021-10-14 14:34:47.597706,-24
2021-10-14 14:34:47.597715,-22
2021-10-14 14:34:47.597723,-29
2021-10-14 14:34:47.597731,-46
2021-10-14 14:34:47.597739,-53
2021-10-14 14:34:47.597748,-51
2021-10-14 14:34:47.597756,-44
2021-10-14 14:34:47.597764,-31
2021-10-14 14:34:47.597775,-24
2021-10-14 14:34:47.822171,-29
2021-10-14 14:34:47.822191,-31
2021-10-14 14:34:47.822200,-4
2021-10-14 14:34:47.822209,105
2021-10-14 14:34:47.822218,382
2021-10-14 14:34:47.822226,743
2021-10-14 14:34:47.822235,809
2021-10-14 14:34:47.822244,203
2021-10-14 14:34:47.822252,-483
2021-10-14 14:34:47.822261,-311
2021-10-14 14:34:47.822270,105
2021-10-14 14:34:47.822278,14
2021-10-14 14:34:47.822287,-71
2021-10-14 14:34:47.822295,44
2021-10-14 14:34:47.822304,44
2021-10-14 14:34:47.822312,2
2021-10-14 14:34:47.822321,41
2021-10-14 14:34:47.822332,68
2021-10-14 14:34:47.822341,71
2021-10-14 14:34:47.822349,98
2021-10-14 14:34:47.822358,130
2021-10-14 14:34:47.822367,144
2021-10-14 14:34:47.822375,161
2021-10-14 14:34:47.822384,184
2021-10-14 14:34:47.822392,208
2021-10-14 14:34:47.822401,240
2021-10-14 14:34:47.822410,269
2021-10-14 14:34:47.822418,306
2021-10-14 14:34:47.822427,350
2021-10-14 14:34:47.822435,375
2021-10-14 14:34:48.047614,380
2021-10-14 14:34:48.047634,395
2021-10-14 14:34:48.047644,414
2021-10-14 14:34:48.047653,414
2021-10-14 14:34:48.047661,390
2021-10-14 14:34:48.047670,355
2021-10-14 14:34:48.047678,299
2021-10-14 14:34:48.047690,213
2021-10-14 14:34:48.047699,117
2021-10-14 14:34:48.047708,26
2021-10-14 14:34:48.047716,-53
2021-10-14 14:34:48.047725,-120
2021-10-14 14:34:48.047733,-154
2021-10-14 14:34:48.047741,-174
2021-10-14 14:34:48.047750,-191
2021-10-14 14:34:48.047759,-198
2021-10-14 14:34:48.047767,-193
2021-10-14 14:34:48.047776,-186
2021-10-14 14:34:48.047784,-171
2021-10-14 14:34:48.047793,-157
2021-10-14 14:34:48.047801,-147
2021-10-14 14:34:48.047810,-137
2021-10-14 14:34:48.047818,-127
2021-10-14 14:34:48.047827,-125
2021-10-14 14:34:48.047835,-125
2021-10-14 14:34:48.047844,-115
2021-10-14 14:34:48.047852,-105
2021-10-14 14:34:48.047860,-100
2021-10-14 14:34:48.047869,-105
2021-10-14 14:34:48.047878,-107
2021-10-14 14:34:48.272619,-100
2021-10-14 14:34:48.272638,-103
2021-10-14 14:34:48.272646,-112
2021-10-14 14:34:48.272653,-115
2021-10-14 14:34:48.272659,-122
2021-10-14 14:34:48.272666,-122
2021-10-14 14:34:48.272672,-110
2021-10-14 14:34:48.272679,-105
2021-10-14 14:34:48.272686,-115
2021-10-14 14:34:48.272692,-130
2021-10-14 14:34:48.272699,-130
2021-10-14 14:34:48.272706,-120
2021-10-14 14:34:48.272712,-112
2021-10-14 14:34:48.272719,-112
2021-10-14 14:34:48.272726,-110
2021-10-14 14:34:48.272733,-103
2021-10-14 14:34:48.272740,-100
2021-10-14 14:34:48.272746,-93
2021-10-14 14:34:48.272753,-80
2021-10-14 14:34:48.272760,-73
2021-10-14 14:34:48.272766,-71
2021-10-14 14:34:48.272773,-76
2021-10-14 14:34:48.272780,-83
2021-10-14 14:34:48.272786,-78
2021-10-14 14:34:48.272796,-53
2021-10-14 14:34:48.272803,-17
