Time,ECG
2021-10-14 16:40:40.014445,-4
2021-10-14 16:40:40.014464,0
2021-10-14 16:40:40.014473,7
2021-10-14 16:40:40.014482,7
2021-10-14 16:40:40.014491,7
2021-10-14 16:40:40.014499,12
2021-10-14 16:40:40.014507,12
2021-10-14 16:40:40.014515,9
2021-10-14 16:40:40.014524,12
2021-10-14 16:40:40.014532,21
2021-10-14 16:40:40.014540,40
2021-10-14 16:40:40.014548,50
2021-10-14 16:40:40.014557,48
2021-10-14 16:40:40.014565,40
2021-10-14 16:40:40.014573,21
2021-10-14 16:40:40.014581,2
2021-10-14 16:40:40.014590,7
2021-10-14 16:40:40.014598,12
2021-10-14 16:40:40.014606,7
2021-10-14 16:40:40.014614,12
2021-10-14 16:40:40.014623,14
2021-10-14 16:40:40.014631,12
2021-10-14 16:40:40.014639,19
2021-10-14 16:40:40.014647,26
2021-10-14 16:40:40.014655,28
2021-10-14 16:40:40.014664,45
2021-10-14 16:40:40.014672,101
2021-10-14 16:40:40.014680,319
2021-10-14 16:40:40.014688,711
2021-10-14 16:40:40.014696,815
2021-10-14 16:40:40.194387,96
2021-10-14 16:40:40.194406,-899
2021-10-14 16:40:40.194415,-990
2021-10-14 16:40:40.194424,-375
2021-10-14 16:40:40.194433,-69
2021-10-14 16:40:40.194441,-50
2021-10-14 16:40:40.194449,60
2021-10-14 16:40:40.194458,127
2021-10-14 16:40:40.194466,93
2021-10-14 16:40:40.194474,93
2021-10-14 16:40:40.194482,103
2021-10-14 16:40:40.194491,91
2021-10-14 16:40:40.194499,96
2021-10-14 16:40:40.194507,115
2021-10-14 16:40:40.194515,120
2021-10-14 16:40:40.194524,122
2021-10-14 16:40:40.194532,125
2021-10-14 16:40:40.194540,120
2021-10-14 16:40:40.194549,127
2021-10-14 16:40:40.194557,144
2021-10-14 16:40:40.194565,149
2021-10-14 16:40:40.194573,156
2021-10-14 16:40:40.194582,170
2021-10-14 16:40:40.194590,182
2021-10-14 16:40:40.194598,192
2021-10-14 16:40:40.194606,209
2021-10-14 16:40:40.194615,221
2021-10-14 16:40:40.194623,228
2021-10-14 16:40:40.194631,230
2021-10-14 16:40:40.194639,223
2021-10-14 16:40:40.463505,209
2021-10-14 16:40:40.463526,194
2021-10-14 16:40:40.463535,173
2021-10-14 16:40:40.463544,137
2021-10-14 16:40:40.463553,93
2021-10-14 16:40:40.463561,50
2021-10-14 16:40:40.463569,21
2021-10-14 16:40:40.463578,-7
2021-10-14 16:40:40.463586,-36
2021-10-14 16:40:40.463595,-60
2021-10-14 16:40:40.463603,-84
2021-10-14 16:40:40.463611,-105
2021-10-14 16:40:40.463619,-108
2021-10-14 16:40:40.463627,-103
2021-10-14 16:40:40.463636,-108
2021-10-14 16:40:40.463644,-117
2021-10-14 16:40:40.463652,-117
2021-10-14 16:40:40.463660,-110
2021-10-14 16:40:40.463669,-108
2021-10-14 16:40:40.463677,-103
2021-10-14 16:40:40.463685,-96
2021-10-14 16:40:40.463694,-88
2021-10-14 16:40:40.463702,-81
2021-10-14 16:40:40.463710,-72
2021-10-14 16:40:40.463719,-62
2021-10-14 16:40:40.463727,-55
2021-10-14 16:40:40.463735,-45
2021-10-14 16:40:40.463743,-43
2021-10-14 16:40:40.463752,-38
2021-10-14 16:40:40.463759,-33
2021-10-14 16:40:40.733526,-28
2021-10-14 16:40:40.733546,-33
2021-10-14 16:40:40.733556,-36
2021-10-14 16:40:40.733578,-40
2021-10-14 16:40:40.733586,-48
2021-10-14 16:40:40.733594,-48
2021-10-14 16:40:40.733603,-36
2021-10-14 16:40:40.733611,-33
2021-10-14 16:40:40.733619,-38
2021-10-14 16:40:40.733627,-38
2021-10-14 16:40:40.733636,-38
2021-10-14 16:40:40.733644,-36
2021-10-14 16:40:40.733652,-31
2021-10-14 16:40:40.733660,-28
2021-10-14 16:40:40.733669,-36
2021-10-14 16:40:40.733677,-55
2021-10-14 16:40:40.733685,-57
2021-10-14 16:40:40.733693,-40
2021-10-14 16:40:40.733702,-36
2021-10-14 16:40:40.733710,-40
2021-10-14 16:40:40.733718,-36
2021-10-14 16:40:40.733726,-28
2021-10-14 16:40:40.733735,-24
2021-10-14 16:40:40.733743,-19
2021-10-14 16:40:40.733751,-14
2021-10-14 16:40:40.733759,-16
2021-10-14 16:40:40.733767,-12
2021-10-14 16:40:40.733776,-4
2021-10-14 16:40:40.733784,-7
2021-10-14 16:40:40.733792,-4
2021-10-14 16:40:40.914455,0
2021-10-14 16:40:40.914474,7
2021-10-14 16:40:40.914484,9
2021-10-14 16:40:40.914492,16
2021-10-14 16:40:40.914501,24
2021-10-14 16:40:40.914509,31
2021-10-14 16:40:40.914517,43
2021-10-14 16:40:40.914526,55
2021-10-14 16:40:40.914534,36
2021-10-14 16:40:40.914543,4
2021-10-14 16:40:40.914551,4
2021-10-14 16:40:40.914560,19
2021-10-14 16:40:40.914568,19
2021-10-14 16:40:40.914577,16
2021-10-14 16:40:40.914585,16
2021-10-14 16:40:40.914593,12
2021-10-14 16:40:40.914602,16
2021-10-14 16:40:40.914610,28
2021-10-14 16:40:40.914618,38
2021-10-14 16:40:40.914626,45
2021-10-14 16:40:40.914635,74
2021-10-14 16:40:40.914643,202
2021-10-14 16:40:40.914651,541
2021-10-14 16:40:40.914660,851
2021-10-14 16:40:40.914668,533
2021-10-14 16:40:40.914676,-452
2021-10-14 16:40:40.914685,-1043
2021-10-14 16:40:40.914693,-630
2021-10-14 16:40:40.914701,-105
2021-10-14 16:40:40.914710,-16
2021-10-14 16:40:41.184488,52
2021-10-14 16:40:41.184509,165
2021-10-14 16:40:41.184518,151
2021-10-14 16:40:41.184527,132
2021-10-14 16:40:41.184535,163
2021-10-14 16:40:41.184544,163
2021-10-14 16:40:41.184552,153
2021-10-14 16:40:41.184561,168
2021-10-14 16:40:41.184569,170
2021-10-14 16:40:41.184577,165
2021-10-14 16:40:41.184586,180
2021-10-14 16:40:41.184594,189
2021-10-14 16:40:41.184602,192
2021-10-14 16:40:41.184611,199
2021-10-14 16:40:41.184619,204
2021-10-14 16:40:41.184627,211
2021-10-14 16:40:41.184636,228
2021-10-14 16:40:41.184644,245
2021-10-14 16:40:41.184653,257
2021-10-14 16:40:41.184661,271
2021-10-14 16:40:41.184669,269
2021-10-14 16:40:41.184677,266
2021-10-14 16:40:41.184686,278
2021-10-14 16:40:41.184694,288
2021-10-14 16:40:41.184702,283
2021-10-14 16:40:41.184711,266
2021-10-14 16:40:41.184719,247
2021-10-14 16:40:41.184727,221
2021-10-14 16:40:41.184736,197
2021-10-14 16:40:41.184744,168
2021-10-14 16:40:41.364085,134
2021-10-14 16:40:41.364104,98
2021-10-14 16:40:41.364114,55
2021-10-14 16:40:41.364123,28
2021-10-14 16:40:41.364131,21
2021-10-14 16:40:41.364140,14
2021-10-14 16:40:41.364148,7
2021-10-14 16:40:41.364157,-2
2021-10-14 16:40:41.364165,-16
2021-10-14 16:40:41.364173,-24
2021-10-14 16:40:41.364182,-24
2021-10-14 16:40:41.364190,-21
2021-10-14 16:40:41.364198,-16
2021-10-14 16:40:41.364207,-14
2021-10-14 16:40:41.364215,-14
2021-10-14 16:40:41.364223,-7
2021-10-14 16:40:41.364232,2
2021-10-14 16:40:41.364240,7
2021-10-14 16:40:41.364248,9
2021-10-14 16:40:41.364256,7
2021-10-14 16:40:41.364265,12
2021-10-14 16:40:41.364273,24
2021-10-14 16:40:41.364281,33
2021-10-14 16:40:41.364289,38
2021-10-14 16:40:41.364297,40
2021-10-14 16:40:41.364306,40
2021-10-14 16:40:41.364314,38
2021-10-14 16:40:41.364322,40
2021-10-14 16:40:41.364330,43
2021-10-14 16:40:41.364338,45
2021-10-14 16:40:41.677833,52
2021-10-14 16:40:41.677854,57
2021-10-14 16:40:41.677863,52
2021-10-14 16:40:41.677872,48
2021-10-14 16:40:41.677881,50
2021-10-14 16:40:41.677889,55
2021-10-14 16:40:41.677897,48
2021-10-14 16:40:41.677906,38
2021-10-14 16:40:41.677914,45
2021-10-14 16:40:41.677922,45
2021-10-14 16:40:41.677931,36
2021-10-14 16:40:41.677939,38
2021-10-14 16:40:41.677947,40
2021-10-14 16:40:41.677956,36
2021-10-14 16:40:41.677964,33
2021-10-14 16:40:41.677972,31
2021-10-14 16:40:41.677981,33
2021-10-14 16:40:41.677989,48
2021-10-14 16:40:41.677997,55
2021-10-14 16:40:41.678006,52
2021-10-14 16:40:41.678014,52
2021-10-14 16:40:41.678022,52
2021-10-14 16:40:41.678030,57
2021-10-14 16:40:41.678039,64
2021-10-14 16:40:41.678047,72
2021-10-14 16:40:41.678055,79
2021-10-14 16:40:41.678064,79
2021-10-14 16:40:41.678072,69
2021-10-14 16:40:41.678080,72
2021-10-14 16:40:41.678088,64
2021-10-14 16:40:41.814430,43
2021-10-14 16:40:41.814448,31
2021-10-14 16:40:41.814457,36
2021-10-14 16:40:41.814466,43
2021-10-14 16:40:41.814474,43
2021-10-14 16:40:41.814482,38
2021-10-14 16:40:41.814491,28
2021-10-14 16:40:41.814499,26
2021-10-14 16:40:41.814507,38
2021-10-14 16:40:41.814516,43
2021-10-14 16:40:41.814524,45
2021-10-14 16:40:41.814532,72
2021-10-14 16:40:41.814541,173
2021-10-14 16:40:41.814549,464
2021-10-14 16:40:41.814557,812
2021-10-14 16:40:41.814566,637
2021-10-14 16:40:41.814574,-305
2021-10-14 16:40:41.814582,-1046
2021-10-14 16:40:41.814590,-764
2021-10-14 16:40:41.814598,-228
2021-10-14 16:40:41.814607,-88
2021-10-14 16:40:41.814615,-2
2021-10-14 16:40:41.814623,129
2021-10-14 16:40:41.814631,141
2021-10-14 16:40:41.814640,122
2021-10-14 16:40:41.814648,149
2021-10-14 16:40:41.814656,158
2021-10-14 16:40:41.814664,151
2021-10-14 16:40:41.814672,161
2021-10-14 16:40:41.814681,165
2021-10-14 16:40:42.039440,165
2021-10-14 16:40:42.039459,177
2021-10-14 16:40:42.039468,185
2021-10-14 16:40:42.039477,182
2021-10-14 16:40:42.039485,189
2021-10-14 16:40:42.039493,194
2021-10-14 16:40:42.039502,194
2021-10-14 16:40:42.039510,211
2021-10-14 16:40:42.039519,228
2021-10-14 16:40:42.039527,233
2021-10-14 16:40:42.039535,242
2021-10-14 16:40:42.039544,252
2021-10-14 16:40:42.039552,262
2021-10-14 16:40:42.039560,264
2021-10-14 16:40:42.039569,250
2021-10-14 16:40:42.039577,238
2021-10-14 16:40:42.039585,233
2021-10-14 16:40:42.039594,216
2021-10-14 16:40:42.039602,187
2021-10-14 16:40:42.039610,156
2021-10-14 16:40:42.039619,122
2021-10-14 16:40:42.039627,81
2021-10-14 16:40:42.039635,45
