Time,ECG
2021-10-21 16:14:20.168422,-94
2021-10-21 16:14:20.168443,-80
2021-10-21 16:14:20.168452,-80
2021-10-21 16:14:20.168461,-72
2021-10-21 16:14:20.168470,-58
2021-10-21 16:14:20.168478,-38
2021-10-21 16:14:20.168487,-26
2021-10-21 16:14:20.168495,-21
2021-10-21 16:14:20.168503,-21
2021-10-21 16:14:20.168512,-24
2021-10-21 16:14:20.168520,-12
2021-10-21 16:14:20.168529,0
2021-10-21 16:14:20.168537,2
2021-10-21 16:14:20.168545,0
2021-10-21 16:14:20.168554,-12
2021-10-21 16:14:20.168562,-21
2021-10-21 16:14:20.168570,-14
2021-10-21 16:14:20.168579,-21
2021-10-21 16:14:20.168587,-48
2021-10-21 16:14:20.168595,-65
2021-10-21 16:14:20.168603,-75
2021-10-21 16:14:20.168612,-94
2021-10-21 16:14:20.168620,-114
2021-10-21 16:14:20.168628,-111
2021-10-21 16:14:20.168636,-111
2021-10-21 16:14:20.168645,-119
2021-10-21 16:14:20.168653,-119
2021-10-21 16:14:20.168661,-107
2021-10-21 16:14:20.168669,-97
2021-10-21 16:14:20.168678,-82
2021-10-21 16:14:20.304578,-75
2021-10-21 16:14:20.304597,-72
2021-10-21 16:14:20.304606,-70
2021-10-21 16:14:20.304615,-60
2021-10-21 16:14:20.304623,-51
2021-10-21 16:14:20.304631,-48
2021-10-21 16:14:20.304640,-43
2021-10-21 16:14:20.304648,-36
2021-10-21 16:14:20.304656,-34
2021-10-21 16:14:20.304664,-36
2021-10-21 16:14:20.304673,-31
2021-10-21 16:14:20.304681,-19
2021-10-21 16:14:20.304689,-17
2021-10-21 16:14:20.304698,-34
2021-10-21 16:14:20.304706,-46
2021-10-21 16:14:20.304714,-41
2021-10-21 16:14:20.304722,-36
2021-10-21 16:14:20.304730,-29
2021-10-21 16:14:20.304739,0
2021-10-21 16:14:20.304747,19
2021-10-21 16:14:20.304755,12
2021-10-21 16:14:20.304763,2
2021-10-21 16:14:20.304771,4
2021-10-21 16:14:20.304780,0
2021-10-21 16:14:20.304788,-4
2021-10-21 16:14:20.304796,-2
2021-10-21 16:14:20.304804,-12
2021-10-21 16:14:20.304812,-21
2021-10-21 16:14:20.304821,-14
2021-10-21 16:14:20.304829,-4
2021-10-21 16:14:20.482972,-4
2021-10-21 16:14:20.482990,-9
2021-10-21 16:14:20.482999,-26
2021-10-21 16:14:20.483008,-92
2021-10-21 16:14:20.483017,-158
2021-10-21 16:14:20.483025,-31
2021-10-21 16:14:20.483034,457
2021-10-21 16:14:20.483042,1165
2021-10-21 16:14:20.483050,1382
2021-10-21 16:14:20.483059,635
2021-10-21 16:14:20.483067,-128
2021-10-21 16:14:20.483075,-82
2021-10-21 16:14:20.483083,68
2021-10-21 16:14:20.483092,-94
2021-10-21 16:14:20.483100,-136
2021-10-21 16:14:20.483108,-63
2021-10-21 16:14:20.483117,-85
2021-10-21 16:14:20.483125,-97
2021-10-21 16:14:20.483133,-53
2021-10-21 16:14:20.483142,-43
2021-10-21 16:14:20.483150,-43
2021-10-21 16:14:20.483158,-29
2021-10-21 16:14:20.483166,-26
2021-10-21 16:14:20.483175,-21
2021-10-21 16:14:20.483183,-7
2021-10-21 16:14:20.483191,-2
2021-10-21 16:14:20.483200,2
2021-10-21 16:14:20.483208,9
2021-10-21 16:14:20.483217,21
2021-10-21 16:14:20.483225,29
2021-10-21 16:14:20.573302,26
2021-10-21 16:14:20.573320,36
