Time,ECG
2021-10-21 16:00:57.967494,1063
2021-10-21 16:00:57.967514,75
2021-10-21 16:00:57.967523,-201
2021-10-21 16:00:57.967532,7
2021-10-21 16:00:57.967541,-85
2021-10-21 16:00:57.967549,-216
2021-10-21 16:00:57.967558,-158
2021-10-21 16:00:57.967566,-143
2021-10-21 16:00:57.967574,-172
2021-10-21 16:00:57.967583,-145
2021-10-21 16:00:57.967592,-126
2021-10-21 16:00:57.967600,-138
2021-10-21 16:00:57.967608,-138
2021-10-21 16:00:57.967617,-116
2021-10-21 16:00:57.967625,-104
2021-10-21 16:00:57.967633,-94
2021-10-21 16:00:57.967642,-77
2021-10-21 16:00:57.967650,-68
2021-10-21 16:00:57.967659,-63
2021-10-21 16:00:57.967667,-53
2021-10-21 16:00:57.967675,-46
2021-10-21 16:00:57.967683,-48
2021-10-21 16:00:57.967692,-46
2021-10-21 16:00:57.967700,-46
2021-10-21 16:00:57.967708,-53
2021-10-21 16:00:57.967717,-55
2021-10-21 16:00:57.967726,-60
2021-10-21 16:00:57.967734,-70
2021-10-21 16:00:57.967742,-72
2021-10-21 16:00:57.967751,-70
2021-10-21 16:00:58.124146,-77
2021-10-21 16:00:58.124168,-85
2021-10-21 16:00:58.124178,-99
2021-10-21 16:00:58.124187,-119
2021-10-21 16:00:58.124195,-119
2021-10-21 16:00:58.124203,-121
2021-10-21 16:00:58.124213,-131
2021-10-21 16:00:58.124221,-121
2021-10-21 16:00:58.124229,-104
2021-10-21 16:00:58.124238,-99
2021-10-21 16:00:58.124246,-94
2021-10-21 16:00:58.124254,-90
2021-10-21 16:00:58.124263,-94
2021-10-21 16:00:58.124271,-94
2021-10-21 16:00:58.124279,-90
2021-10-21 16:00:58.124287,-82
2021-10-21 16:00:58.124296,-75
2021-10-21 16:00:58.124305,-70
2021-10-21 16:00:58.124313,-65
2021-10-21 16:00:58.124321,-58
2021-10-21 16:00:58.124330,-51
2021-10-21 16:00:58.124338,-51
2021-10-21 16:00:58.124346,-41
2021-10-21 16:00:58.124355,-19
2021-10-21 16:00:58.124363,-4
